Images/image_0001.jpg, red, Objects (id: bounding-box centroid area mean-color):
  151: 40x42+5370+1806 5389.9,1827.0 1223 srgb(255,255,255)
  84: 43x44+2916+1030 2937.8,1051.2 1219 srgb(255,255,255)
  190: 47x46+3231+2073 3254.3,2096.2 1205 srgb(255,255,255)
  26: 41x44+3831+672 3850.5,693.5 1195 srgb(255,255,255)
  204: 42x44+4590+2168 4610.4,2189.9 1194 srgb(255,255,255)
  269: 41x41+2529+2825 2548.5,2845.4 1192 srgb(255,255,255)
  76: 40x40+3345+944 3364.2,963.1 1185 srgb(255,255,255)
  94: 41x45+3908+1112 3927.6,1134.4 1173 srgb(255,255,255)
  69: 39x40+4710+861 4728.7,880.3 1160 srgb(255,255,255)
  46: 38x40+3240+728 3258.4,747.6 1153 srgb(255,255,255)
  175: 40x40+5607+2017 5626.3,2036.5 1140 srgb(255,255,255)
  181: 45x42+2450+2042 2471.8,2063.6 1131 srgb(255,255,255)
  210: 41x40+4320+2206 4339.8,2225.2 1126 srgb(255,255,255)
  146: 43x42+2983+1784 3004.3,1805.2 1122 srgb(255,255,255)
  158: 37x37+5580+1840 5597.9,1857.7 1077 srgb(255,255,255)
  74: 35x39+4770+939 4787.0,958.0 1051 srgb(0,0,0)
  101: 34x39+3982+1210 3998.3,1228.9 982 srgb(0,0,0)
  127: 34x34+5022+1662 5038.3,1678.7 876 srgb(0,0,0)
  125: 34x34+4742+1657 4758.1,1673.0 866 srgb(0,0,0)
  71: 34x34+3052+912 3068.2,929.2 851 srgb(255,255,255)
  73: 45x46+4765+936 4787.1,958.7 465 srgb(255,255,255)
  100: 44x46+3977+1206 3998.2,1228.2 454 srgb(255,255,255)
  195: 26x23+3242+2085 3254.3,2096.3 378 srgb(0,0,0)
  191: 41x40+4899+2073 4920.4,2091.7 315 srgb(255,255,255)
  126: 40x40+5019+1659 5039.0,1678.0 314 srgb(255,255,255)
  185: 21x24+2463+2052 2472.5,2061.8 285 srgb(0,0,0)
  124: 40x39+4738+1654 4758.3,1673.0 266 srgb(255,255,255)
  121: 35x34+5125+1594 5142.6,1611.9 236 srgb(255,255,255)
  148: 20x20+2993+1795 3003.1,1804.2 223 srgb(0,0,0)
  95: 22x18+3919+1123 3928.9,1133.4 197 srgb(0,0,0)
  59: 19x17+3091+819 3100.0,827.1 152 srgb(0,0,0)
  205: 15x15+4603+2184 4610.5,2191.0 140 srgb(0,0,0)
  87: 17x14+2928+1044 2936.2,1051.0 133 srgb(0,0,0)
  235: 15x13+4934+2377 4940.7,2382.6 98 srgb(0,0,0)
  214: 11x15+4335+2217 4339.8,2225.2 94 srgb(0,0,0)
  34: 13x11+3846+689 3851.3,693.7 76 srgb(0,0,0)
Images/_DSC7315.JPG, white, Objects (id: bounding-box centroid area mean-color):
  0: 7952x5304+0+0 3975.5,2651.6 4.21745e+07 srgb(0,0,0)
  6: 29x31+4773+943 4787.0,957.9 682 srgb(255,255,255)
  9: 29x31+3984+1214 3997.9,1229.1 649 srgb(255,255,255)
  14: 27x26+4745+1662 4758.0,1673.6 508 srgb(255,255,255)
  15: 26x26+5026+1665 5038.8,1677.4 483 srgb(255,255,255)
  22: 28x23+4905+2081 4918.3,2092.1 482 srgb(255,255,255)
  12: 10x12+5137+1605 5141.8,1610.7 85 srgb(255,255,255)
Images/_DSC7315.JPG, blue, Objects (id: bounding-box centroid area mean-color):
  0: 7952x5304+0+0 3975.2,2651.8 4.21646e+07 srgb(0,0,0)
  104: 36x36+5058+1972 5075.0,1988.9 924 srgb(0,0,0)
  100: 37x35+5465+1787 5482.7,1804.2 877 srgb(0,0,0)
  40: 35x35+5310+1482 5326.7,1498.7 854 srgb(0,0,0)
  17: 33x35+4186+1040 4201.8,1056.9 830 srgb(0,0,0)
  139: 35x32+5628+2401 5645.2,2416.9 783 srgb(0,0,0)
  56: 35x30+5413+1627 5431.4,1641.6 739 srgb(0,0,0)
  103: 47x47+5052+1965 5075.1,1988.1 721 srgb(255,255,255)
  22: 42x43+4996+1105 5014.2,1127.3 715 srgb(255,255,255)
  98: 46x45+5461+1782 5483.8,1804.0 692 srgb(255,255,255)
  48: 47x42+5408+1621 5430.7,1640.8 690 srgb(255,255,255)
  9: 41x41+4582+925 4602.0,945.0 678 srgb(255,255,255)
  16: 44x44+4180+1036 4201.3,1057.9 673 srgb(255,255,255)
  39: 47x43+5304+1477 5326.7,1498.5 639 srgb(255,255,255)
  137: 44x42+5624+2397 5644.6,2418.0 638 srgb(255,255,255)
  19: 41x40+5104+1093 5125.2,1112.6 637 srgb(255,255,255)
  24: 29x32+5004+1111 5017.7,1125.0 582 srgb(0,0,0)
  20: 27x30+5111+1097 5123.1,1111.8 573 srgb(0,0,0)
  11: 26x29+4589+930 4601.8,943.9 543 srgb(0,0,0)
  37: 9x9+157+1434 160.9,1438.0 67 srgb(255,255,255)
Images/_DSC7313.JPG, red, Objects (id: bounding-box centroid area mean-color):
  0: 7952x5304+0+0 3975.6,2651.6 4.2169e+07 srgb(0,0,0)
  20: 41x43+3844+1094 3864.8,1114.5 824 srgb(255,255,255)
  36: 43x44+2223+2168 2244.4,2190.4 817 srgb(255,255,255)
  77: 41x43+3724+3368 3744.1,3389.2 780 srgb(255,255,255)
  8: 36x39+4485+757 4503.1,776.7 777 srgb(255,255,255)
  63: 41x39+3214+3074 3233.4,3093.4 741 srgb(255,255,255)
  13: 38x37+2825+981 2844.2,998.6 725 srgb(255,255,255)
  49: 38x39+4052+2640 4070.7,2658.0 704 srgb(255,255,255)
  37: 28x30+2230+2176 2243.3,2190.2 580 srgb(0,0,0)
  21: 28x26+3850+1103 3863.0,1115.8 526 srgb(0,0,0)
  78: 27x28+3732+3375 3744.8,3388.1 524 srgb(0,0,0)
  64: 26x26+3222+3080 3235.0,3092.9 436 srgb(0,0,0)
  50: 24x24+4059+2647 4070.3,2658.3 405 srgb(0,0,0)
  16: 21x23+2832+988 2842.7,999.4 296 srgb(0,0,0)
  9: 20x22+4493+764 4502.4,774.8 276 srgb(0,0,0)
Images/_DSC7313.JPG, green, Objects (id: bounding-box centroid area mean-color):
  0: 7952x5304+0+0 3975.5,2651.9 4.21482e+07 srgb(0,0,0)
  30: 42x43+4121+822 4141.7,843.3 1285 srgb(255,255,255)
  105: 44x43+5442+1709 5463.1,1729.5 1283 srgb(255,255,255)
  299: 44x41+2702+3269 2723.8,3288.8 1236 srgb(255,255,255)
  92: 42x42+4663+1676 4683.3,1696.4 1234 srgb(255,255,255)
  218: 46x43+2241+2710 2263.9,2731.3 1222 srgb(255,255,255)
  205: 40x40+2904+2556 2923.8,2575.8 1208 srgb(255,255,255)
  18: 40x43+4312+709 4331.1,729.3 1196 srgb(255,255,255)
  259: 42x42+3404+3068 3423.8,3089.2 1185 srgb(255,255,255)
  43: 40x44+5211+1224 5230.0,1245.5 1184 srgb(255,255,255)
  81: 42x40+2870+1590 2890.2,1609.4 1180 srgb(255,255,255)
  375: 42x45+4469+3817 4488.7,3839.4 1180 srgb(255,255,255)
  55: 39x39+4312+1291 4330.9,1310.6 1177 srgb(255,255,255)
  141: 40x39+5600+1941 5619.3,1959.4 1177 srgb(255,255,255)
  63: 41x42+3991+1332 4011.4,1352.3 1174 srgb(255,255,255)
  185: 42x40+5626+2312 5646.1,2331.3 1165 srgb(255,255,255)
  123: 44x41+2733+1787 2754.7,1807.6 1151 srgb(255,255,255)
  19: 38x41+4588+709 4606.6,728.8 1145 srgb(255,255,255)
  168: 42x40+2514+2231 2535.2,2250.4 1138 srgb(255,255,255)
  281: 44x44+4321+3170 4341.8,3191.7 1134 srgb(255,255,255)
  140: 38x39+3528+1936 3546.1,1954.8 1065 srgb(255,255,255)
  314: 37x38+5113+3386 5130.7,3404.9 1049 srgb(255,255,255)
  40: 37x37+2822+1095 2840.0,1113.3 1033 srgb(255,255,255)
  199: 34x35+4883+2455 4899.5,2472.0 878 srgb(255,255,255)
  233: 35x31+2333+2788 2350.6,2802.7 832 srgb(255,255,255)
  283: 21x22+4332+3179 4341.5,3190.2 288 srgb(0,0,0)
  376: 16x19+4482+3829 4488.8,3838.2 201 srgb(0,0,0)
  125: 20x21+2743+1796 2753.5,1805.8 200 srgb(0,0,0)
  222: 18x17+2255+2724 2262.8,2731.1 184 srgb(0,0,0)
  108: 14x17+5456+1720 5462.9,1729.0 127 srgb(0,0,0)
  65: 15x14+4004+1344 4010.9,1351.1 123 srgb(0,0,0)
  261: 14x16+3418+3081 3424.2,3088.5 116 srgb(0,0,0)
  302: 13x16+2719+3282 2724.5,3289.6 116 srgb(0,0,0)
  171: 14x14+2528+2242 2533.8,2249.3 103 srgb(0,0,0)
  48: 15x13+5223+1240 5229.6,1245.7 90 srgb(0,0,0)
  188: 12x13+5640+2325 5645.6,2332.2 69 srgb(0,0,0)
  94: 11x9+4678+1693 4683.3,1697.3 61 srgb(0,0,0)
Images/_DSC7313.JPG, white, Objects (id: bounding-box centroid area mean-color):
  0: 7952x5304+0+0 3975.5,2651.5 4.21774e+07 srgb(0,0,0)
Images/_DSC7313.JPG, blue, Objects (id: bounding-box centroid area mean-color):
  0: 7952x5304+0+0 3975.2,2651.7 4.21653e+07 srgb(0,0,0)
  41: 37x37+4611+2158 4629.2,2176.1 981 srgb(0,0,0)
  25: 37x36+5080+1672 5097.9,1688.9 969 srgb(0,0,0)
  30: 33x36+5296+1872 5312.0,1889.0 830 srgb(0,0,0)
  20: 32x35+5350+1406 5365.5,1422.8 821 srgb(0,0,0)
  40: 49x49+4604+2152 4628.5,2176.4 774 srgb(255,255,255)
  24: 47x50+5075+1664 5098.1,1688.4 739 srgb(255,255,255)
  32: 33x33+5509+1879 5524.6,1894.9 718 srgb(0,0,0)
  13: 42x42+5005+1133 5023.7,1154.8 681 srgb(255,255,255)
  31: 45x42+5503+1874 5523.8,1894.5 655 srgb(255,255,255)
  14: 30x32+5012+1138 5026.5,1153.5 629 srgb(0,0,0)
  29: 43x45+5290+1867 5310.0,1888.3 627 srgb(255,255,255)
  48: 42x40+2638+2736 2659.0,2756.3 627 srgb(255,255,255)
  19: 43x44+5344+1403 5364.0,1425.3 624 srgb(255,255,255)
  37: 41x39+5623+2128 5642.8,2148.1 622 srgb(255,255,255)
  38: 30x28+5628+2133 5642.9,2146.3 618 srgb(0,0,0)
  27: 42x42+5377+1785 5395.6,1805.5 600 srgb(255,255,255)
  49: 29x27+2645+2743 2659.0,2756.0 548 srgb(0,0,0)
  21: 9x9+157+1434 161.0,1438.0 68 srgb(255,255,255)
Images/_DSC7314.JPG, red, Objects (id: bounding-box centroid area mean-color):
  0: 7952x5304+0+0 3975.5,2651.5 4.21709e+07 srgb(0,0,0)
  38: 44x44+5624+2398 5646.4,2419.9 871 srgb(255,255,255)
  28: 42x41+2303+2117 2322.8,2136.7 836 srgb(255,255,255)
  64: 43x43+4976+3400 4998.0,3421.5 829 srgb(255,255,255)
  45: 42x43+3871+2709 3891.0,2729.8 799 srgb(255,255,255)
  7: 37x38+3199+1052 3217.6,1071.1 749 srgb(255,255,255)
  39: 30x27+5631+2406 5644.9,2419.2 580 srgb(0,0,0)
  65: 29x29+4983+3408 4996.8,3421.7 580 srgb(0,0,0)
  47: 27x27+3878+2718 3891.7,2730.7 530 srgb(0,0,0)
  30: 27x24+2310+2125 2322.5,2136.0 422 srgb(0,0,0)
  8: 22x21+3205+1060 3215.1,1069.3 297 srgb(0,0,0)
Images/_DSC7314.JPG, green, Objects (id: bounding-box centroid area mean-color):
  0: 7952x5304+0+0 3975.5,2652.1 4.21473e+07 srgb(0,0,0)
  131: 45x42+5474+1793 5495.7,1813.6 1276 srgb(255,255,255)
  36: 43x43+4521+860 4542.5,881.0 1275 srgb(255,255,255)
  71: 40x41+3033+1397 3052.1,1416.5 1252 srgb(255,255,255)
  101: 45x42+2328+1661 2349.3,1681.2 1235 srgb(255,255,255)
  161: 41x40+5619+2035 5639.3,2054.1 1221 srgb(255,255,255)
  20: 43x44+4504+668 4525.5,689.7 1219 srgb(255,255,255)
  173: 41x41+4084+2095 4103.4,2115.0 1212 srgb(255,255,255)
  271: 44x41+2925+2875 2946.1,2894.7 1207 srgb(255,255,255)
  175: 45x47+4545+2104 4566.6,2127.6 1191 srgb(255,255,255)
  91: 43x42+2509+1624 2529.4,1645.2 1172 srgb(255,255,255)
  201: 41x39+3149+2283 3169.0,2301.8 1171 srgb(255,255,255)
  47: 38x41+3996+1048 4015.0,1068.5 1157 srgb(255,255,255)
  227: 47x47+3914+2441 3937.0,2463.5 1155 srgb(255,255,255)
  14: 37x42+3948+568 3966.0,588.3 1140 srgb(255,255,255)
  216: 43x42+2633+2390 2654.3,2410.3 1140 srgb(255,255,255)
  244: 43x46+4332+2670 4352.4,2692.5 1137 srgb(255,255,255)
  154: 40x39+4574+1980 4593.4,1999.0 1136 srgb(255,255,255)
  290: 44x43+4723+3028 4744.7,3048.4 1136 srgb(255,255,255)
  61: 39x39+5071+1172 5089.7,1190.5 1126 srgb(255,255,255)
  191: 40x38+5633+2218 5652.2,2236.8 1122 srgb(255,255,255)
  24: 37x40+4217+679 4234.9,697.9 1064 srgb(255,255,255)
  19: 36x40+3870+655 3888.0,674.5 1045 srgb(255,255,255)
  152: 36x35+2322+1943 2339.6,1960.0 941 srgb(255,255,255)
  126: 34x33+2376+1767 2392.9,1783.3 846 srgb(255,255,255)
  228: 27x23+3925+2452 3937.7,2462.9 439 srgb(0,0,0)
  294: 21x22+4734+3037 4744.4,3047.9 321 srgb(0,0,0)
  178: 22x27+4557+2114 4566.8,2126.6 315 srgb(0,0,0)
  51: 41x43+4164+1060 4185.4,1078.9 272 srgb(255,255,255)
  245: 21x19+4343+2684 4352.1,2692.7 236 srgb(0,0,0)
  217: 18x21+2645+2398 2653.3,2408.7 183 srgb(0,0,0)
  25: 17x19+4516+681 4524.9,689.6 173 srgb(0,0,0)
  133: 14x17+5490+1805 5496.1,1813.3 165 srgb(0,0,0)
  103: 15x18+2342+1671 2348.9,1680.1 153 srgb(0,0,0)
  97: 18x14+2522+1640 2530.2,1645.7 151 srgb(0,0,0)
  273: 14x13+2940+2888 2945.8,2894.1 105 srgb(0,0,0)
  39: 9x13+4538+874 4542.2,880.2 61 srgb(0,0,0)
Images/_DSC7314.JPG, white, Objects (id: bounding-box centroid area mean-color):
  0: 7952x5304+0+0 3975.5,2651.5 4.21768e+07 srgb(0,0,0)
  8: 29x29+4170+1067 4184.2,1080.7 621 srgb(255,255,255)
Images/_DSC7314.JPG, blue, Objects (id: bounding-box centroid area mean-color):
  0: 7952x5304+0+0 3975.2,2651.9 4.21631e+07 srgb(0,0,0)
  66: 38x37+4817+2667 4835.3,2685.0 988 srgb(0,0,0)
  13: 35x38+4393+968 4410.2,986.4 949 srgb(0,0,0)
  41: 34x35+4725+1548 4741.9,1564.6 867 srgb(0,0,0)
  46: 31x36+4845+1607 4859.9,1624.7 825 srgb(0,0,0)
  4: 33x35+4325+621 4340.5,637.4 821 srgb(0,0,0)
  10: 32x33+4199+755 4214.4,771.4 755 srgb(0,0,0)
  58: 32x32+5531+1967 5546.8,1982.3 744 srgb(0,0,0)
  65: 48x46+4812+2662 4836.0,2684.1 733 srgb(255,255,255)
  12: 46x48+4389+963 4411.2,986.8 720 srgb(255,255,255)
  35: 30x34+4996+1204 5011.3,1219.7 717 srgb(0,0,0)
  45: 44x45+4839+1602 4860.8,1624.8 702 srgb(255,255,255)
  8: 42x45+4193+750 4212.6,772.0 680 srgb(255,255,255)
  34: 43x44+4991+1199 5012.1,1221.7 670 srgb(255,255,255)
  3: 45x44+4318+616 4340.0,637.0 660 srgb(255,255,255)
  51: 38x38+5282+1834 5301.0,1852.6 653 srgb(255,255,255)
  32: 40x41+5184+1177 5204.5,1198.1 647 srgb(255,255,255)
  57: 44x43+5525+1960 5545.5,1982.2 642 srgb(255,255,255)
  40: 47x44+4720+1543 4742.8,1564.7 625 srgb(255,255,255)
  33: 27x29+5191+1182 5204.1,1196.1 566 srgb(0,0,0)
  52: 28x25+5286+1841 5299.6,1852.6 383 srgb(0,0,0)
Images/_DSC7315.JPG, red, Objects (id: bounding-box centroid area mean-color):
  0: 7952x5304+0+0 3975.6,2651.5 4.21729e+07 srgb(0,0,0)
  32: 41x38+2993+1605 3013.5,1623.3 801 srgb(255,255,255)
  55: 40x40+3280+1712 3300.0,1731.7 766 srgb(255,255,255)
  107: 35x36+3279+3832 3296.4,3848.6 752 srgb(255,255,255)
  73: 41x40+3937+2563 3957.5,2583.0 734 srgb(255,255,255)
  74: 27x26+3944+2570 3956.8,2583.2 482 srgb(0,0,0)
  56: 26x25+3287+1720 3299.1,1731.7 418 srgb(0,0,0)
  34: 22x24+3003+1611 3013.2,1621.8 354 srgb(0,0,0)
  108: 18x19+3287+3841 3296.4,3850.3 214 srgb(0,0,0)
Images/_DSC7315.JPG, green, Objects (id: bounding-box centroid area mean-color):
  0: 7952x5304+0+0 3975.4,2652.4 4.21453e+07 srgb(0,0,0)
  55: 47x44+3079+805 3101.3,826.9 1252 srgb(255,255,255)
  208: 40x40+5624+2200 5644.1,2219.4 1247 srgb(255,255,255)
  25: 40x43+3412+665 3431.9,685.9 1244 srgb(255,255,255)
  232: 44x40+4920+2364 4942.0,2382.8 1236 srgb(255,255,255)
  20: 41x41+3584+632 3603.8,652.3 1230 srgb(255,255,255)
  151: 40x42+5370+1806 5389.9,1827.0 1223 srgb(255,255,255)
  84: 43x44+2916+1030 2937.8,1051.2 1219 srgb(255,255,255)
  190: 47x46+3231+2073 3254.3,2096.2 1205 srgb(255,255,255)
  26: 41x44+3831+672 3850.5,693.5 1195 srgb(255,255,255)
  204: 42x44+4590+2168 4610.4,2189.9 1194 srgb(255,255,255)
  269: 41x41+2529+2825 2548.5,2845.4 1192 srgb(255,255,255)
  76: 40x40+3345+944 3364.2,963.1 1185 srgb(255,255,255)
  94: 41x45+3908+1112 3927.6,1134.4 1173 srgb(255,255,255)
  69: 39x40+4710+861 4728.7,880.3 1160 srgb(255,255,255)
  46: 38x40+3240+728 3258.4,747.6 1153 srgb(255,255,255)
  175: 40x40+5607+2017 5626.3,2036.5 1140 srgb(255,255,255)
  181: 45x42+2450+2042 2471.8,2063.6 1131 srgb(255,255,255)
  210: 41x40+4320+2206 4339.8,2225.2 1126 srgb(255,255,255)
  146: 43x42+2983+1784 3004.3,1805.2 1122 srgb(255,255,255)
  158: 37x37+5580+1840 5597.9,1857.7 1077 srgb(255,255,255)
  74: 35x39+4770+939 4787.0,958.0 1051 srgb(0,0,0)
  101: 34x39+3982+1210 3998.3,1228.9 982 srgb(0,0,0)
  127: 34x34+5022+1662 5038.3,1678.7 876 srgb(0,0,0)
  125: 34x34+4742+1657 4758.1,1673.0 866 srgb(0,0,0)
  71: 34x34+3052+912 3068.2,929.2 851 srgb(255,255,255)
  73: 45x46+4765+936 4787.1,958.7 465 srgb(255,255,255)
  100: 44x46+3977+1206 3998.2,1228.2 454 srgb(255,255,255)
  195: 26x23+3242+2085 3254.3,2096.3 378 srgb(0,0,0)
  191: 41x40+4899+2073 4920.4,2091.7 315 srgb(255,255,255)
  126: 40x40+5019+1659 5039.0,1678.0 314 srgb(255,255,255)
  185: 21x24+2463+2052 2472.5,2061.8 285 srgb(0,0,0)
  124: 40x39+4738+1654 4758.3,1673.0 266 srgb(255,255,255)
  121: 35x34+5125+1594 5142.6,1611.9 236 srgb(255,255,255)
  148: 20x20+2993+1795 3003.1,1804.2 223 srgb(0,0,0)
  95: 22x18+3919+1123 3928.9,1133.4 197 srgb(0,0,0)
  59: 19x17+3091+819 3100.0,827.1 152 srgb(0,0,0)
  205: 15x15+4603+2184 4610.5,2191.0 140 srgb(0,0,0)
  87: 17x14+2928+1044 2936.2,1051.0 133 srgb(0,0,0)
  235: 15x13+4934+2377 4940.7,2382.6 98 srgb(0,0,0)
  214: 11x15+4335+2217 4339.8,2225.2 94 srgb(0,0,0)
  34: 13x11+3846+689 3851.3,693.7 76 srgb(0,0,0)
Images/_DSC7315.JPG, white, Objects (id: bounding-box centroid area mean-color):
  0: 7952x5304+0+0 3975.5,2651.6 4.21745e+07 srgb(0,0,0)
  6: 29x31+4773+943 4787.0,957.9 682 srgb(255,255,255)
  9: 29x31+3984+1214 3997.9,1229.1 649 srgb(255,255,255)
  14: 27x26+4745+1662 4758.0,1673.6 508 srgb(255,255,255)
  15: 26x26+5026+1665 5038.8,1677.4 483 srgb(255,255,255)
  22: 28x23+4905+2081 4918.3,2092.1 482 srgb(255,255,255)
  12: 10x12+5137+1605 5141.8,1610.7 85 srgb(255,255,255)
Images/_DSC7315.JPG, blue, Objects (id: bounding-box centroid area mean-color):
  0: 7952x5304+0+0 3975.2,2651.8 4.21646e+07 srgb(0,0,0)
  104: 36x36+5058+1972 5075.0,1988.9 924 srgb(0,0,0)
  100: 37x35+5465+1787 5482.7,1804.2 877 srgb(0,0,0)
  40: 35x35+5310+1482 5326.7,1498.7 854 srgb(0,0,0)
  17: 33x35+4186+1040 4201.8,1056.9 830 srgb(0,0,0)
  139: 35x32+5628+2401 5645.2,2416.9 783 srgb(0,0,0)
  56: 35x30+5413+1627 5431.4,1641.6 739 srgb(0,0,0)
  103: 47x47+5052+1965 5075.1,1988.1 721 srgb(255,255,255)
  22: 42x43+4996+1105 5014.2,1127.3 715 srgb(255,255,255)
  98: 46x45+5461+1782 5483.8,1804.0 692 srgb(255,255,255)
  48: 47x42+5408+1621 5430.7,1640.8 690 srgb(255,255,255)
  9: 41x41+4582+925 4602.0,945.0 678 srgb(255,255,255)
  16: 44x44+4180+1036 4201.3,1057.9 673 srgb(255,255,255)
  39: 47x43+5304+1477 5326.7,1498.5 639 srgb(255,255,255)
  137: 44x42+5624+2397 5644.6,2418.0 638 srgb(255,255,255)
  19: 41x40+5104+1093 5125.2,1112.6 637 srgb(255,255,255)
  24: 29x32+5004+1111 5017.7,1125.0 582 srgb(0,0,0)
  20: 27x30+5111+1097 5123.1,1111.8 573 srgb(0,0,0)
  11: 26x29+4589+930 4601.8,943.9 543 srgb(0,0,0)
  37: 9x9+157+1434 160.9,1438.0 67 srgb(255,255,255)
Images/_DSC7316.JPG, red, Objects (id: bounding-box centroid area mean-color):
  0: 7952x5304+0+0 3975.5,2651.5 4.21698e+07 srgb(0,0,0)
  24: 44x45+5004+1541 5024.6,1562.6 906 srgb(255,255,255)
  60: 41x46+2419+3065 2439.2,3087.7 837 srgb(255,255,255)
  36: 40x40+2491+2160 2510.9,2180.2 771 srgb(255,255,255)
  66: 43x40+5125+3364 5145.4,3383.9 766 srgb(255,255,255)
  44: 42x38+5446+2550 5465.4,2569.1 756 srgb(255,255,255)
  83: 38x40+2958+3730 2977.0,3749.3 731 srgb(255,255,255)
  25: 27x31+5011+1547 5024.6,1562.5 628 srgb(0,0,0)
  61: 24x30+2428+3073 2439.8,3087.3 537 srgb(0,0,0)
  67: 26x28+5132+3371 5144.9,3383.8 497 srgb(0,0,0)
  45: 27x24+5454+2557 5467.8,2568.4 452 srgb(0,0,0)
  37: 24x23+2498+2168 2509.5,2179.5 390 srgb(0,0,0)
  84: 22x24+2968+3739 2978.0,3751.3 384 srgb(0,0,0)
Images/_DSC7316.JPG, green, Objects (id: bounding-box centroid area mean-color):
  0: 7952x5304+0+0 3975.6,2651.9 4.21508e+07 srgb(0,0,0)
  17: 44x43+4183+692 4203.9,713.1 1301 srgb(255,255,255)
  74: 42x39+2694+1397 2714.8,1416.0 1233 srgb(255,255,255)
  121: 40x42+4588+1886 4606.7,1907.3 1207 srgb(255,255,255)
  64: 46x45+5050+1297 5071.9,1318.7 1195 srgb(255,255,255)
  159: 43x45+4496+2153 4517.0,2175.0 1191 srgb(255,255,255)
  212: 40x43+4095+2671 4114.5,2691.9 1191 srgb(255,255,255)
  33: 40x40+3250+843 3269.7,863.0 1187 srgb(255,255,255)
  41: 40x42+3147+863 3165.8,883.4 1184 srgb(255,255,255)
  143: 43x44+2596+2044 2616.5,2064.8 1177 srgb(255,255,255)
  344: 43x41+3262+3670 3283.4,3690.0 1177 srgb(255,255,255)
  89: 39x42+4121+1500 4140.4,1519.5 1173 srgb(255,255,255)
  255: 44x41+2543+3093 2564.5,3112.8 1159 srgb(255,255,255)
  52: 39x40+3362+1050 3380.6,1070.0 1146 srgb(255,255,255)
  73: 40x38+5234+1396 5253.7,1414.7 1129 srgb(255,255,255)
  163: 41x42+4008+2166 4027.8,2186.3 1123 srgb(255,255,255)
  189: 42x41+4413+2345 4432.0,2364.9 1111 srgb(255,255,255)
  279: 40x37+5138+3181 5157.3,3199.0 1109 srgb(255,255,255)
  337: 36x40+4709+3647 4726.1,3667.0 1070 srgb(255,255,255)
  366: 39x37+3245+3813 3264.3,3831.4 1028 srgb(255,255,255)
  15: 36x39+4016+659 4033.5,677.7 1019 srgb(255,255,255)
  196: 35x39+3153+2409 3170.1,2428.2 994 srgb(255,255,255)
  177: 35x34+3644+2254 3661.0,2270.3 907 srgb(255,255,255)
  65: 24x21+5062+1308 5072.7,1318.1 295 srgb(0,0,0)
  161: 17x21+4511+2164 4517.9,2174.1 211 srgb(0,0,0)
  146: 18x18+2609+2055 2617.2,2064.3 197 srgb(0,0,0)
  167: 18x17+4019+2179 4028.2,2186.7 197 srgb(0,0,0)
  190: 19x17+4423+2358 4432.7,2365.1 180 srgb(0,0,0)
  261: 18x17+2559+3104 2565.4,3112.8 153 srgb(0,0,0)
  23: 15x13+4197+706 4204.5,712.2 91 srgb(0,0,0)
  129: 13x12+4600+1901 4605.9,1906.6 87 srgb(0,0,0)
  214: 12x10+4109+2688 4114.5,2692.5 81 srgb(0,0,0)
  46: 13x12+3159+881 3164.6,885.3 76 srgb(0,0,0)
  346: 12x10+3277+3684 3282.6,3688.5 75 srgb(0,0,0)
Images/_DSC7316.JPG, white, Objects (id: bounding-box centroid area mean-color):
  0: 7952x5304+0+0 3975.5,2651.5 4.21774e+07 srgb(0,0,0)
Images/_DSC7316.JPG, blue, Objects (id: bounding-box centroid area mean-color):
  0: 7952x5304+0+0 3975.5,2651.9 4.21612e+07 srgb(0,0,0)
  35: 37x35+3458+1479 3476.1,1495.7 997 srgb(0,0,0)
  38: 36x37+4284+1598 4301.6,1615.6 965 srgb(0,0,0)
  40: 35x37+4820+1654 4836.5,1671.4 918 srgb(0,0,0)
  22: 33x36+4987+1098 5003.7,1116.2 858 srgb(0,0,0)
  5: 33x37+4285+629 4300.8,647.1 849 srgb(0,0,0)
  49: 34x33+2312+2920 2327.6,2936.4 827 srgb(0,0,0)
  18: 31x34+4642+971 4657.3,987.4 787 srgb(0,0,0)
  4: 45x49+4279+624 4300.7,646.7 759 srgb(255,255,255)
  39: 47x47+4813+1648 4835.5,1670.8 749 srgb(255,255,255)
  11: 43x43+3606+784 3627.0,805.1 723 srgb(255,255,255)
  34: 47x48+3453+1472 3476.6,1495.5 717 srgb(255,255,255)
  28: 33x31+3001+1251 3016.2,1266.6 716 srgb(0,0,0)
  37: 48x48+4279+1592 4302.1,1616.4 715 srgb(255,255,255)
  12: 30x32+3612+789 3626.4,804.7 687 srgb(0,0,0)
  48: 46x44+2305+2915 2328.5,2936.1 655 srgb(255,255,255)
  52: 42x38+3142+3853 3162.0,3871.0 654 srgb(255,255,255)
  21: 46x46+4981+1093 5004.0,1115.1 652 srgb(255,255,255)
  17: 44x44+4636+966 4657.8,988.5 648 srgb(255,255,255)
  27: 43x43+2996+1245 3016.1,1266.5 619 srgb(255,255,255)
  9: 37x41+4076+777 4093.4,797.7 609 srgb(255,255,255)
  54: 29x28+3149+3857 3162.3,3871.2 553 srgb(0,0,0)
  10: 27x29+4080+782 4093.2,795.9 538 srgb(0,0,0)
Images/_DSC7317.JPG, red, Objects (id: bounding-box centroid area mean-color):
